Year,CoC_Number,CoC_Name,State,Overall_Homeless,Chronic_Homeless,Non-Chronic_Homeless,Actual_CoC_Median_Rent,Previous_CoC_Neighbor_Median_Rent,CoC_AVG_Median_Household_Income,CoC_Population_Estimate,Poverty_Percentage,CoC_Civilian_Labor_Force,Unemployment_Rate,Party_Affiliation,Vote_Percentage,CoC_Poverty_Estimate_Age_0_17,Birth_Rate,Death_Rate,International_Migration_Rate,Domestic_Migration_Rate
2022,AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL,943,267,676,834.0,728.2777777777778,61996.0,665084,15.937836423669793,323290,0.025818924185715613,Democrat,0.5157055928676391,31449,11.876695274581857,13.162247174792958,0.9517594769983941,-6.71794840952421
2022,AL-501,Mobile City & County/Baldwin County CoC,AL,585,76,509,783.45,635.85,63009.5,657929,16.361187909333683,295161,0.029326367643421725,Republican,0.6269742341911985,33537,11.496681252840352,13.124516475181974,0.8131576507495489,8.371724000614048
2022,AL-502,Florence/Northwest Alabama CoC,AL,232,11,221,553.9,550.6,52939.0,271888,15.672629906432059,120142,0.02617735679445989,Republican,0.7455630595256793,12649,10.846377920320132,15.19007826752192,0.4266462661095745,10.00411934325899
2022,AL-503,Huntsville/North Alabama CoC,AL,549,118,431,681.9166666666666,533.5833333333334,75281.66666666667,638704,11.076492397104136,308386,0.021165033432127268,Republican,0.613670589438007,19794,11.019188857436308,10.873581502542649,1.35900197900749,15.781958465893434
2022,AL-504,Montgomery City & County CoC,AL,278,57,221,674.4375,539.375,44976.0,246227,18.46873007428105,115243,0.03129908107216924,Democrat,0.6276474755761056,16108,13.081424864048216,12.212308154670284,1.474249371514903,-5.230945428405496
2022,AL-506,Tuscaloosa City & County CoC,AL,40,0,40,814.0,750.4166666666667,60875.0,236690,15.570155055135409,103432,0.025291979271405366,Republican,0.577061668681983,9540,10.511639697494614,9.683552325827032,1.0858084414212683,2.868731251848409
2022,AL-507,Alabama Balance of State CoC,AL,935,22,913,596.6744720965308,692.7245286576169,50923.58823529412,1383394,17.474558947053406,591702,0.026249700017914424,Republican,0.7206651353728863,69752,11.622863768384134,14.74489552506372,0.7792429344062501,7.619665836341635
2022,AR-500,Little Rock/Central Arkansas CoC,AR,859,290,569,692.0,598.35,57057.0,399387,16.91592365299822,189654,0.03482657892794246,Democrat,0.5606223713198478,22117,12.466605072273259,11.860676486715892,0.9464504352920851,2.0130850528434827
2022,AR-501,Fayetteville/Northwest Arkansas CoC,AR,343,49,294,616.1333333333333,527.3944444444445,62535.0,605684,10.925168899954432,306145,0.02383184438746346,Republican,0.5811018727965601,18058,12.66832209535005,8.785109066774094,3.031283639653681,15.887822693021445
2022,AR-503,Arkansas  Balance of State  CoC,AR,814,111,703,553.1956862745099,596.5353921568628,48432.52380952381,1201369,16.975467154554515,514849,0.03569784538767678,Republican,0.6850093653971351,59938,11.4877277505912,14.925472523429521,0.36874598895093846,6.644919254617024
2022,AR-505,Southeast Arkansas CoC,AR,69,0,69,544.5442857142857,592.8809523809523,50349.416666666664,193408,18.441326108537393,81369,0.04198159004043309,Republican,0.628922476352535,10587,11.199123097286567,16.519482131039045,0.305054599602912,-6.88699536730642
2022,AZ-500,Arizona Balance of State CoC,AZ,2300,600,1700,748.3683333333333,789.6208333333333,60066.0,1493939,14.556618442921698,633083,0.05363435758028568,Republican,0.5957175710720751,59532,10.21728464147465,14.05880695262658,1.979331150736409,18.399680308232128
2022,AZ-501,Tucson/Pima County CoC,AZ,2227,798,1429,708.0,877.4,64007.0,1057476,14.210346144971611,489775,0.03797253841049462,Democrat,0.5328265819182241,36448,9.54442464888092,12.057011222949741,3.048768955512938,7.496151212888047
2022,AZ-502,"Phoenix, Mesa/Maricopa County CoC",AZ,9026,1287,7739,1086.0,726.8,83668.0,4555833,10.702126263188312,2380680,0.033397600685518426,Republican,0.4766837560609095,139817,11.226267512439547,9.53766303549757,3.3706239890707144,7.238851819195304
2022,CA-500,San Jose/Santa Clara City & County CoC,CA,10028,2838,7190,2362.0,1551.0,150502.0,1878335,7.33245134653829,1040856,0.0264858923808865,Democrat,0.7271244221688227,25899,10.341073344211763,6.015966267997988,9.754383536483108,-17.729531739545926
2022,CA-501,San Francisco CoC,CA,7754,2691,5063,2317.0,2107.5,135366.0,807774,10.30374832564554,572583,0.025498486682280122,Democrat,0.8503962621244381,8572,9.090413902898582,8.059184871015903,6.933870117136724,-12.634722088108802
